facility_id,facility_mw,cooling_type,utilization_pct,electricity_rate_usd_kwh,colocation_usd_kw_month,pue_realized,capex_usd_per_mw,stranded_capacity_pct,stranded_capacity_mw,loss_floor_usd_annual,loss_ceiling_usd_annual,loss_mid_usd_annual,p10_loss_usd,p50_loss_usd,p90_loss_usd,recoverable_value_usd,roi_months
DC-0001,24.47,air-cooled,60.7,0.1556,173.8,1.597,9904007.35,12.53,3.066,13422000.47,6394449.6,9908225.04,9546567.74,10224047.27,10835271.41,7926580.03,2.8
DC-0002,14.72,air-cooled,65.4,0.1566,191.55,1.571,10927830.64,12.86,1.893,8676621.81,4351249.8,6513935.8,5977737.98,6350170.12,6723213.32,5211148.64,2.5
DC-0003,27.61,air-cooled,68.6,0.1085,182.55,1.505,11166212.36,12.41,3.426,13401904.99,7504995.6,10453450.3,9930065.13,10596517.46,11250419.09,8362760.24,3.0
DC-0004,55.61,air-cooled,84.6,0.1251,177.57,1.587,11020757.86,12.68,7.051,29531086.43,15024552.84,22277819.64,20501928.59,21846502.08,23281821.09,17822255.71,2.8
DC-0005,13.64,air-cooled,58.0,0.0914,187.92,1.568,11332627.85,12.09,1.649,6223000.98,3718560.96,4970780.97,4769499.45,5064908.0,5403497.83,3976624.78,3.1
DC-0006,13.64,hybrid,67.7,0.1365,177.78,1.251,12826833.37,9.25,1.262,5485003.03,2692300.32,4088651.68,3677579.71,4037367.51,4439826.61,3270921.34,3.8
DC-0007,58.17,hybrid,83.4,0.1511,200.9,1.238,12826311.02,9.78,5.689,25537651.95,13715041.2,19626346.58,16680032.51,18459520.43,20230883.41,15701077.26,3.3
DC-0008,30.38,hybrid,68.4,0.1208,169.39,1.286,14043276.6,9.92,3.014,13507493.03,6126497.52,9816995.27,7824440.7,8671158.13,9577861.61,7853596.22,3.5
DC-0009,11.3,air-cooled,77.5,0.1067,181.2,1.657,10759127.94,12.67,1.432,5641653.21,3113740.8,4377697.0,4037588.99,4288128.94,4587982.59,3502157.6,2.9
DC-0010,25.38,air-cooled,70.3,0.1272,162.93,1.567,11530504.23,12.77,3.241,13963519.53,6336673.56,10150096.54,9130017.2,9770215.24,10359997.76,8120077.23,2.8
DC-0011,11.35,air-cooled,75.1,0.1283,178.8,1.623,10878692.41,12.42,1.41,5980641.74,3025296.0,4502968.87,4263027.17,4513065.33,4780992.25,3602375.1,2.8
DC-0012,11.33,liquid-cooled,69.3,0.1216,158.81,1.122,17571262.49,3.16,0.358,1825763.25,682247.76,1254005.5,909666.8,1376026.44,1839442.7,1003204.4,10.2
DC-0013,19.96,hybrid,80.0,0.1236,195.19,1.212,14047011.68,8.24,1.645,7293657.23,3853050.6,5573353.92,5475079.35,6024480.21,6647004.33,4458683.14,4.0
DC-0014,3.56,hybrid,53.5,0.1165,195.5,1.294,13809094.63,8.4,0.299,1312390.67,701454.0,1006922.34,955175.57,1056147.27,1165364.68,805537.87,4.0
DC-0015,4.14,air-cooled,67.6,0.1399,195.76,1.644,10711665.77,12.25,0.507,2228331.74,1191003.84,1709667.79,1640826.47,1736225.24,1836277.24,1367734.23,2.7
DC-0016,10.49,air-cooled,75.6,0.1347,184.43,1.513,11434798.04,12.87,1.35,5840591.22,2987766.0,4414178.61,4037336.4,4284402.88,4522911.97,3531342.89,2.7
DC-0017,7.31,air-cooled,78.4,0.1003,170.8,1.504,11220624.42,12.94,0.946,3608922.46,1938921.6,2773922.03,2531236.99,2689157.82,2867922.63,2219137.62,3.0
DC-0018,21.14,hybrid,89.9,0.0998,171.99,1.292,13367910.91,9.33,1.972,8085545.66,4069971.36,6077758.51,5313187.11,5840610.18,6428053.63,4862206.81,3.9
DC-0019,7.95,liquid-cooled,67.3,0.1149,206.95,1.119,16835670.34,2.14,0.17,827485.27,422178.0,624831.64,686446.3,1062153.2,1411437.11,499865.31,14.3
DC-0020,5.31,liquid-cooled,89.8,0.1347,205.54,1.066,16959582.79,2.3,0.122,613250.85,300910.56,457080.7,460274.77,711333.6,935308.72,365664.56,13.1
DC-0021,53.12,air-cooled,64.1,0.123,185.84,1.566,11111531.07,12.4,6.587,27379279.2,14689536.96,21034408.08,19871979.78,21204529.81,22407875.52,16827526.46,2.8
DC-0022,13.73,air-cooled,87.9,0.1071,176.27,1.453,11149697.25,12.53,1.72,6606363.97,3638212.8,5122288.38,4836310.74,5170356.61,5528013.45,4097830.7,3.0
DC-0023,17.36,liquid-cooled,81.8,0.1252,204.53,1.088,17819559.78,2.75,0.477,2458061.3,1170729.72,1814395.51,1516399.93,2216091.95,3060956.05,1451516.41,10.8
DC-0024,5.26,hybrid,61.0,0.1134,173.58,1.285,13232003.85,8.98,0.472,1990397.44,983157.12,1486777.28,1360934.92,1502956.23,1650184.81,1189421.82,4.0
DC-0025,10.64,air-cooled,75.7,0.1376,187.43,1.511,10540044.36,12.15,1.293,5383476.89,2908163.88,4145820.38,4125641.53,4389001.61,4647531.37,3316656.3,2.9
DC-0026,17.97,air-cooled,71.4,0.1267,204.28,1.487,10723286.12,12.13,2.18,8792728.89,5343964.8,7068346.85,7047056.97,7462132.27,7901548.68,5654677.48,2.9
DC-0027,6.55,air-cooled,79.5,0.1137,171.45,1.612,10280400.41,12.55,0.822,3197666.12,1691182.8,2444424.46,2342040.05,2494928.32,2638425.25,1955539.57,3.0
DC-0028,22.21,air-cooled,69.3,0.1246,196.44,1.542,11559437.06,12.65,2.81,11947700.25,6623956.8,9285828.52,8459931.78,9031205.37,9683126.08,7428662.82,2.7
DC-0029,10.17,air-cooled,68.3,0.1463,191.81,1.529,12097724.82,12.06,1.227,5703011.76,2824210.44,4263611.1,4055629.71,4305881.77,4598739.52,3410888.88,2.7
DC-0030,13.02,hybrid,88.4,0.1086,183.41,1.239,13038882.64,8.78,1.143,4659136.35,2515651.56,3587393.96,3380761.76,3742515.65,4085636.37,2869915.17,4.1
DC-0031,10.16,air-cooled,70.8,0.1281,169.1,1.603,10857723.72,12.18,1.237,5209803.09,2510120.4,3859961.74,3689338.82,3942438.86,4180917.75,3087969.39,3.0
DC-0032,72.37,air-cooled,81.9,0.1186,173.13,1.536,11288373.18,12.7,9.191,37722925.25,19094853.96,28408889.6,26094044.33,27921885.55,29619279.23,22727111.68,2.9
DC-0033,16.27,air-cooled,69.3,0.1285,188.34,1.593,10039831.36,12.96,2.109,8487143.28,4766508.72,6626826.0,6173851.01,6585928.28,7005144.96,5301460.8,2.8
DC-0034,7.06,hybrid,92.0,0.1069,162.65,1.204,13383177.5,8.71,0.615,2522433.58,1200357.0,1861395.29,1756881.87,1944766.34,2150971.8,1489116.23,4.3
